%CPU %MEM     PID TT       STIME     TIME CMD
12.7  0.0 1042569 pts/0    09:13 00:00:01 /bin/ksh tmon manu tes
 2.0  0.0 1043997 pts/0    09:13 00:00:00 sh /u1/etc/tmon/script/chk_cpu
 0.9  0.1    1175 ?        Dec15 00:12:34 /usr/local/aiopskit/aiopskit_v1.2.33/aiopskit -f /usr/local/aiopskit/aiopskit_v1.2.33/aiopskit.conf > /usr/local/aiopskit/aiopskit_v1.2.33/run/aiopskit.log 2>&1 &
 0.7  0.1    1128 ?        Dec15 00:10:55 /usr/lib/polkit-1/polkitd --no-debug
 0.6  0.1   18950 ?        Dec15 00:09:18 ora_vktm_topprd
 0.6  0.2   19001 ?        Dec15 00:09:23 ora_vkrm_topprd
 0.5  0.0    1125 ?        Dec15 00:07:05 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
 0.4  0.3   18998 ?        Dec15 00:05:57 ora_dbrm_topprd
 0.3  0.0    1124 ?        Dec15 00:04:31 avahi-daemon: running [TOP200.local]
 0.3  1.2   17590 ?        Dec15 00:04:45 /usr/lib/jvm/java-1.8.0-openjdk-1.8.0.282.b08-4.el8.x86_64/jre/bin/java -Xmx512m -Xms256m -Xmn512m -Djetty.home=/u1/topjetty -cp /u1/topjetty/lib/jetty-xml-8.1.16.v20140903.jar:/u1/topjetty/lib/servlet-api-3.0.jar:/u1/topjetty/lib/jetty-http-8.1.16.v20140903.jar:/u1/topjetty/lib/jetty-continuation-8.1.16.v20140903.jar:/u1/topjetty/lib/jetty-server-8.1.16.v20140903.jar:/u1/topjetty/lib/jetty-security-8.1.16.v20140903.jar:/u1/topjetty/lib/jetty-servlet-8.1.16.v20140903.jar:/u1/topjetty/lib/jetty-webapp-8.1.16.v20140903.jar:/u1/topjetty/lib/jetty-deploy-8.1.16.v20140903.jar:/u1/topjetty/lib/jetty-servlets-8.1.16.v20140903.jar:/u1/topjetty/lib/jetty-annotations-8.1.16.v20140903.jar:/u1/topjetty/lib/annotations/javax.annotation-1.1.0.v201108011116.jar:/u1/topjetty/lib/annotations/org.objectweb.asm-3.1.0.v200803061910.jar:/u1/topjetty/lib/jetty-jmx-8.1.16.v20140903.jar:/u1/topjetty/lib/jsp/com.sun.el-2.2.0.v201108011116.jar:/u1/topjetty/lib/jsp/javax.el-2.2.0.v201108011116.jar:/u1/topjetty/lib/jsp/javax.servlet.jsp.jstl-1.2.0.v201105211821.jar:/u1/topjetty/lib/jsp/javax.servlet.jsp-2.2.0.v201112011158.jar:/u1/topjetty/lib/jsp/org.apache.jasper.glassfish-2.2.2.v201112011158.jar:/u1/topjetty/lib/jsp/org.apache.taglibs.standard.glassfish-1.2.0.v201112081803.jar:/u1/topjetty/lib/jsp/org.eclipse.jdt.core-3.7.1.jar:/u1/topjetty/lib/jetty-jndi-8.1.16.v20140903.jar:/u1/topjetty/lib/jetty-plus-8.1.16.v20140903.jar:/u1/topjetty/lib/jndi/javax.activation-1.1.0.v201105071233.jar:/u1/topjetty/lib/jndi/javax.mail.glassfish-1.4.1.v201005082020.jar:/u1/topjetty/resources:/u1/topjetty/lib/jetty-websocket-8.1.16.v20140903.jar:/u1/topjetty/lib/jetty-util-8.1.16.v20140903.jar:/u1/topjetty/lib/jetty-io-8.1.16.v20140903.jar org.eclipse.jetty.xml.XmlConfiguration /ut/topprd/tmp/start4082750293824855432.properties /u1/topjetty/etc/jetty.xml /u1/topjetty/etc/jetty-annotations.xml /u1/topjetty/etc/jetty-deploy.xml /u1/topjetty/etc/jetty-webapps.xml /u1/topjetty/etc/jetty-contexts.xml /u1/topjetty/etc/jetty-logging.xml /u1/topjetty/etc/jetty-started.xml
 0.3  0.3   19011 ?        Dec15 00:04:19 ora_dia0_topprd
 0.3  0.7   19074 tty1     Dec15 00:04:12 /usr/bin/gnome-shell
