
TABLE_NAME                                                                                                                      ,TABLESPACE_NAME
--------------------------------------------------------------------------------------------------------------------------------,------------------------------
DUAL                                                                                                                            ,SYSTEM
SYSTEM_PRIVILEGE_MAP                                                                                                            ,SYSTEM
TABLE_PRIVILEGE_MAP                                                                                                             ,SYSTEM
USER_PRIVILEGE_MAP                                                                                                              ,SYSTEM
STMT_AUDIT_OPTION_MAP                                                                                                           ,SYSTEM
TSDP_SENSITIVE_DATA$                                                                                                            ,SYSTEM
IMPCALLOUTREG$                                                                                                                  ,SYSTEM
AUDIT_ACTIONS                                                                                                                   ,SYSTEM
TSDP_SOURCE$                                                                                                                    ,SYSTEM
TSDP_SENSITIVE_TYPE$                                                                                                            ,SYSTEM
TSDP_POLICY$                                                                                                                    ,SYSTEM
TSDP_SUBPOL$                                                                                                                    ,SYSTEM
TSDP_CONDITION$                                                                                                                 ,SYSTEM
TSDP_PARAMETER$                                                                                                                 ,SYSTEM
TSDP_ASSOCIATION$                                                                                                               ,SYSTEM
TSDP_PROTECTION$                                                                                                                ,SYSTEM
TSDP_FEATURE_POLICY$                                                                                                            ,SYSTEM
TSDP_ERROR$                                                                                                                     ,SYSTEM
DBA_SENSITIVE_DATA_TBL                                                                                                          ,SYSTEM
DBA_TSDP_POLICY_PROTECTION_TBL                                                                                                  ,SYSTEM
FGA_LOG$FOR_EXPORT_TBL                                                                                                          ,SYSTEM
AUDTAB$TBS$FOR_EXPORT_TBL                                                                                                       ,SYSTEM
KU$_USER_MAPPING_VIEW_TBL                                                                                                       ,SYSTEM
SQL$_DATAPUMP_TBL                                                                                                               ,SYSTEM
SQL$TEXT_DATAPUMP_TBL                                                                                                           ,SYSTEM
SQLOBJ$_DATAPUMP_TBL                                                                                                            ,SYSTEM
SQLOBJ$PLAN_DATAPUMP_TBL                                                                                                        ,SYSTEM
SQLOBJ$DATA_DATAPUMP_TBL                                                                                                        ,SYSTEM
SQLOBJ$AUXDATA_DATAPUMP_TBL                                                                                                     ,SYSTEM
WRR$_REPLAY_CALL_FILTER                                                                                                         ,SYSAUX
KU$_PLSQL_SRC_TBL                                                                                                               ,SYSTEM
NACL$_HOST_EXP_TBL                                                                                                              ,SYSTEM
NACL$_WALLET_EXP_TBL                                                                                                            ,SYSTEM
NACL$_ACE_EXP_TBL                                                                                                               ,SYSTEM
RPP$X$KCCDI                                                                                                                     ,SYSAUX
RPP$X$KCCDI2                                                                                                                    ,SYSAUX
RPP$X$KCCIC                                                                                                                     ,SYSAUX
RPP$X$KCCPDB                                                                                                                    ,SYSAUX
RPP$X$KCPDBINC                                                                                                                  ,SYSAUX
RPP$X$KCCTS                                                                                                                     ,SYSAUX
RPP$X$KCCFE                                                                                                                     ,SYSAUX
RPP$X$KCCFN                                                                                                                     ,SYSAUX
RPP$X$KCVDF                                                                                                                     ,SYSAUX
RPP$X$KCCTF                                                                                                                     ,SYSAUX
RPP$X$KCVFH                                                                                                                     ,SYSAUX
RPP$X$KCVFHTMP                                                                                                                  ,SYSAUX
RPP$X$KCVFHALL                                                                                                                  ,SYSAUX
RPP$X$KCCRT                                                                                                                     ,SYSAUX
RPP$X$KCCLE                                                                                                                     ,SYSAUX
RPP$X$KCCSL                                                                                                                     ,SYSAUX
RPP$X$KCCTIR                                                                                                                    ,SYSAUX
RPP$X$KCCOR                                                                                                                     ,SYSAUX
RPP$X$KCCLH                                                                                                                     ,SYSAUX
RPP$X$KCCAL                                                                                                                     ,SYSAUX
RPP$X$KCCBS                                                                                                                     ,SYSAUX
RPP$X$KCCBP                                                                                                                     ,SYSAUX
RPP$X$KCCBF                                                                                                                     ,SYSAUX
RPP$X$KCCBL                                                                                                                     ,SYSAUX
RPP$X$KCCBI                                                                                                                     ,SYSAUX
RPP$X$KCCDC                                                                                                                     ,SYSAUX
RPP$X$KCCPD                                                                                                                     ,SYSAUX
RPP$X$KCCPA                                                                                                                     ,SYSAUX
HS_BULKLOAD_VIEW_OBJ                                                                                                            ,SYSTEM
HS$_PARALLEL_METADATA                                                                                                           ,SYSTEM
HS_PARTITION_COL_NAME                                                                                                           ,SYSTEM
HS_PARTITION_COL_TYPE                                                                                                           ,SYSTEM

66 rows selected.

